codigo_ine,nombre
03011,"Alfàs Del Pi, L'"
03012,Algorfa
03013,Algueña
03014,Alicante/Alacant
03015,Almoradí
03016,Almudaina
03017,"Alqueria D'Asnar, L'"
03018,Altea
03019,Aspe
03020,Balones
03021,Banyeres De Mariola
03022,Benasau
03023,Beneixama
03024,Benejúzar
03025,Benferri
03026,Beniarbeig
03027,Beniardá
03028,Beniarrés
03030,Benidoleig
03031,Benidorm
03032,Benifallim
03033,Benifato
03029,Benigembla
03034,Benijófar
03035,Benilloba
03036,Benillup
03037,Benimantell
03038,Benimarfull
03039,Benimassot
03040,Benimeli
03041,Benissa
03042,"Benitachell/Poble Nou De Benitatxell, El"
03043,Biar
03044,Bigastro
03045,Bolulla
03046,Busot
03049,Callosa De Segura
03048,Callosa D'En Sarrià
03047,Calp
03050,"Campello, El"
03051,"Campo De Mirra/Camp De Mirra, El"
03052,Cañada
03053,Castalla
03054,Castell De Castells
03075,"Castell De Guadalest, El"
03055,Catral
03056,Cocentaina
03057,Confrides
03058,Cox
03059,Crevillent
03061,Daya Nueva
03062,Daya Vieja
03063,Dénia
03064,Dolores
03065,Elche/Elx
03066,Elda
03067,Facheca
03068,Famorca
03069,Finestrat
03077,"Fondó De Les Neus, El/Hondón De Las Nieves"
03070,Formentera Del Segura
03072,Gaianes
03071,Gata De Gorgos
03073,Gorga
03074,Granja De Rocamora
03076,Guardamar Del Segura
03078,Hondón De Los Frailes
03079,Ibi
03080,Jacarilla
03082,Jávea/Xàbia
03083,Jijona/Xixona
03085,Llíber
03084,"Lorcha/Orxa, L'"
03086,Millena
03088,Monforte Del Cid
03089,Monóvar/Monòver
03903,"Montesinos, Los"
03091,Murla
03092,Muro De Alcoy
03090,Mutxamel
03093,Novelda
03094,"Nucia, La"
03095,Ondara
03096,Onil
03097,Orba
03099,Orihuela
03098,Orxeta
03100,Parcent
03101,Pedreguer
03102,Pego
03103,Penàguila
03104,Petrer
03902,Pilar De La Horadada
03105,"Pinós, El/Pinoso"
03106,Planes
03901,"Poblets, Els"
03107,Polop
03060,Quatretondeta
03109,Rafal
03110,"Ràfol D'Almúnia, El"
03111,Redován
03112,Relleu
03113,Rojales
03114,"Romana, La"
03115,Sagra
03116,Salinas
03118,San Fulgencio
03904,San Isidro
03120,San Miguel De Salinas
03122,San Vicente Del Raspeig/Sant Vicent Del Raspeig
03117,Sanet Y Negrals
03119,Sant Joan D'Alacant
03121,Santa Pola
03123,Sax
03124,Sella
03125,Senija
03127,Tàrbena
03128,Teulada
03129,Tibi
03130,Tollos
03131,Tormos
03132,"Torremanzanas/Torre De Les Maçanes, La"
03133,Torrevieja
03134,"Vall D'Alcalà, La"
03136,Vall De Gallinera
03137,"Vall De Laguar, La"
03135,"Vall D'Ebo, La"
03138,"Verger, El"
03139,"Villajoyosa/Vila Joiosa, La"
03140,Villena
03081,Xaló
04001,Abla
04002,Abrucena
04003,Adra
04004,Albánchez
04005,Alboloduy
04006,Albox
04007,Alcolea
04008,Alcóntar
04009,Alcudia De Monteagud
04010,Alhabia
04011,Alhama De Almería
04012,Alicún
04013,Almería
04014,Almócita
04015,Alsodux
04016,Antas
04017,Arboleas
04018,Armuña De Almanzora
04019,Bacares
04020,Bayárcal
04021,Bayarque
04022,Bédar
04023,Beires
04024,Benahadux
04026,Benitagla
04027,Benizalón
04028,Bentarique
04029,Berja
04030,Canjáyar
04031,Cantoria
04032,Carboneras
04033,Castro De Filabres
04036,Chercos
04037,Chirivel
04034,Cóbdar
04035,Cuevas Del Almanzora
04038,Dalías
04902,"Ejido, El"
04041,Enix
04043,Felix
04044,Fines
04045,Fiñana
04046,Fondón
04047,Gádor
04048,"Gallardos, Los"
04049,Garrucha
04050,Gérgal
04051,Huécija
04052,Huércal De Almería
04053,Huércal-Overa
04054,Illar
04055,Instinción
04056,Laroya
04057,Láujar De Andarax
04058,Líjar
04059,Lubrín
04060,Lucainena De Las Torres
04061,Lúcar
04062,Macael
04063,María
04064,Mojácar
04903,"Mojonera, La"
04065,Nacimiento
04066,Níjar
04067,Ohanes
04068,Olula De Castro
04069,Olula Del Río
04070,Oria
04071,Padules
04072,Partaloa
04073,Paterna Del Río
04074,Pechina
04075,Pulpí
04076,Purchena
04077,Rágol
04078,Rioja
04079,Roquetas De Mar
04080,Santa Cruz De Marchena
04081,Santa Fe De Mondújar
04082,Senés
04083,Serón
04084,Sierro
04085,Somontín
04086,Sorbas
04087,Suflí
04088,Tabernas
04089,Taberno
04090,Tahal
04091,Terque
04092,Tíjola
04901,"Tres Villas, Las"
04093,Turre
04094,Turrillas
04095,Uleila Del Campo
04096,Urrácal
04097,Velefique
04098,Vélez-Blanco
04099,Vélez-Rubio
04100,Vera
04101,Viator
04102,Vícar
04103,Zurgena
05001,Adanero
05002,"Adrada, La"
05005,Albornos
05007,Aldeanueva De Santa Cruz
05008,Aldeaseca
05010,"Aldehuela, La"
05012,Amavida
05013,"Arenal, El"
05014,Arenas De San Pedro
05015,Arevalillo
05016,Arévalo
05017,Aveinte
05018,Avellaneda
05019,Ávila
05021,"Barco De Ávila, El"
05022,"Barraco, El"
05023,Barromán
05024,Becedas
05025,Becedillas
05026,Bercial De Zapardiel
05027,"Berlanas, Las"
05029,Bernuy-Zapardiel
05030,Berrocalejo De Aragona
05033,Blascomillán
05034,Blasconuño De Matacabras
05035,Blascosancho
05036,"Bohodón, El"
05037,Bohoyo
05038,Bonilla De La Sierra
05039,Brabos
05040,Bularros
05041,Burgohondo
05042,Cabezas De Alambre
05043,Cabezas Del Pozo
05044,Cabezas Del Villar
05045,Cabizuela
05046,Canales
05047,Candeleda
05048,Cantiveros
05049,Cardeñosa
05051,"Carrera, La"
05052,Casas Del Puerto
05053,Casasola
05054,Casavieja
05055,Casillas
05056,Castellanos De Zapardiel
05057,Cebreros
05058,Cepeda La Mora
05067,Chamartín
05059,Cillán
05060,Cisla
05061,"Colilla, La"
05062,Collado De Contreras
05063,Collado Del Mirón
05064,Constanzana
05065,Crespos
05066,Cuevas Del Valle
05903,Diego Del Carpio
05069,Donjimeno
05070,Donvidas
05072,Espinosa De Los Caballeros
05073,Flores De Ávila
05074,Fontiveros
05075,Fresnedilla
05076,"Fresno, El"
05077,Fuente El Saúz
05078,Fuentes De Año
05079,Gallegos De Altamiros
05080,Gallegos De Sobrinos
05081,Garganta Del Villar
05082,Gavilanes
05083,Gemuño
05085,Gil García
05084,Gilbuena
05086,Gimialcón
05087,Gotarrendura
05088,Grandes Y San Martín
05089,Guisando
05090,Gutierre-Muñoz
05092,Hernansancho
05093,Herradón De Pinares
05094,Herreros De Suso
05095,Higuera De Las Dueñas
05096,"Hija De Dios, La"
05097,"Horcajada, La"
05099,Horcajo De Las Torres
05100,"Hornillo, El"
05102,"Hoyo De Pinares, El"
05101,Hoyocasero
05103,Hoyorredondo
05106,Hoyos De Miguel Muñoz
05104,Hoyos Del Collado
05105,Hoyos Del Espino
05107,Hurtumpascual
05108,Junciana
05109,Langa
05110,Lanzahíta
05113,"Llanos De Tormes, Los"
05112,"Losar Del Barco, El"
05114,Madrigal De Las Altas Torres
05115,Maello
05116,Malpartida De Corneja
05117,Mamblas
05118,Mancera De Arriba
05119,Manjabálago
05120,Marlín
05121,Martiherrero
05122,Martínez
05123,Mediana De Voltoya
05124,Medinilla
05125,Mengamuñoz
05126,Mesegar De Corneja
05127,Mijares
05128,Mingorría
05129,"Mirón, El"
05130,Mironcillo
05131,Mirueña De Los Infanzones
05132,Mombeltrán
05133,Monsalupe
05134,Moraleja De Matacabras
05135,Muñana
05136,Muñico
05138,Muñogalindo
05139,Muñogrande
05140,Muñomer Del Peco
05141,Muñopepe
05142,Muñosancho
05143,Muñotello
05144,Narrillos Del Álamo
05145,Narrillos Del Rebollar
05149,Narros De Saldueña
05147,Narros Del Castillo
05148,Narros Del Puerto
05152,Nava De Arévalo
05153,Nava Del Barco
05151,Navacepedilla De Corneja
05154,Navadijos
05155,Navaescurial
05156,Navahondilla
05157,Navalacruz
05158,Navalmoral
05159,Navalonguilla
05160,Navalosa
05161,Navalperal De Pinares
05162,Navalperal De Tormes
05163,Navaluenga
05164,Navaquesera
05165,Navarredonda De Gredos
05166,Navarredondilla
05167,Navarrevisca
05168,"Navas Del Marqués, Las"
05169,Navatalgordo
05170,Navatejares
05171,Neila De San Miguel
05172,Niharra
05173,Ojos-Albos
05174,Orbita
05175,"Oso, El"
05176,Padiernos
05177,Pajares De Adaja
05178,Palacios De Goda
05179,Papatrigo
05180,"Parral, El"
05181,Pascualcobo
05182,Pedro Bernardo
05183,Pedro-Rodríguez
05184,Peguerinos
05185,Peñalba De Ávila
05186,Piedrahíta
05187,Piedralaves
05188,Poveda
05189,Poyales Del Hoyo
05190,Pozanco
05191,Pradosegar
05192,Puerto Castilla
05193,Rasueros
05194,Riocabado
05195,Riofrío
05196,Rivilla De Barajas
05197,Salobral
05198,Salvadiós
05199,San Bartolomé De Béjar
05200,San Bartolomé De Corneja
05201,San Bartolomé De Pinares
05206,San Esteban De Los Patos
05208,San Esteban De Zapardiel
05207,San Esteban Del Valle
05209,San García De Ingelmos
05901,San Juan De Gredos
05210,San Juan De La Encinilla
05211,San Juan De La Nava
05212,San Juan Del Molinillo
05213,San Juan Del Olmo
05214,San Lorenzo De Tormes
05215,San Martín De La Vega Del Alberche
05216,San Martín Del Pimpollar
05217,San Miguel De Corneja
05218,San Miguel De Serrezuela
05219,San Pascual
05220,San Pedro Del Arroyo
05231,San Vicente De Arévalo
05204,Sanchidrián
05205,Sanchorreja
05222,Santa Cruz De Pinares
05221,Santa Cruz Del Valle
05226,Santa María De Los Caballeros
05224,Santa María Del Arroyo
05225,Santa María Del Berrocal
05902,Santa María Del Cubillo
05227,Santa María Del Tiétar
05228,Santiago Del Collado
05904,Santiago Del Tormes
05229,Santo Domingo De Las Posadas
05230,Santo Tomé De Zabarcos
05232,"Serrada, La"
05233,Serranillos
05234,Sigeres
05235,Sinlabajos
05236,Solana De Ávila
05237,Solana De Rioalmar
05238,Solosancho
05239,Sotalbo
05240,Sotillo De La Adrada
05241,"Tiemblo, El"
05242,Tiñosillos
05243,Tolbaños
05244,Tormellas
05245,Tornadizos De Ávila
05247,"Torre, La"
05246,Tórtoles
05249,Umbrías
05251,Vadillo De La Sierra
05252,Valdecasa
05253,Vega De Santa María
05254,Velayos
05256,Villaflor
05257,Villafranca De La Sierra
05905,Villanueva De Ávila
05258,Villanueva De Gómez
05259,Villanueva Del Aceral
05260,Villanueva Del Campillo
05261,Villar De Corneja
05262,Villarejo Del Valle
05263,Villatoro
05264,Viñegra De Moraña
05265,Vita
05266,Zapardiel De La Cañada
05267,Zapardiel De La Ribera
06001,Acedera
06002,Aceuchal
06003,Ahillones
06004,Alange
06005,"Albuera, La"
06006,Alburquerque
06007,Alconchel
06008,Alconera
06009,Aljucén
06010,Almendral
06011,Almendralejo
06012,Arroyo De San Serván
06013,Atalaya
06014,Azuaga
06015,Badajoz
06016,Barcarrota
06017,Baterno
06018,Benquerencia De La Serena
06019,Berlanga
06020,Bienvenida
06021,Bodonal De La Sierra
06022,Burguillos Del Cerro
06023,Cabeza Del Buey
06024,Cabeza La Vaca
06025,Calamonte
06026,Calera De León
06027,Calzadilla De Los Barros
06028,Campanario
06029,Campillo De Llerena
06030,Capilla
06031,Carmonita
06032,"Carrascalejo, El"
06033,Casas De Don Pedro
06034,Casas De Reina
06035,Castilblanco
06036,Castuera
06042,Cheles
06037,"Codosera, La"
06038,Cordobilla De Lácara
06039,"Coronada, La"
06040,Corte De Peleas
06041,Cristina
06043,Don Álvaro
06044,Don Benito
06045,Entrín Bajo
06046,Esparragalejo
06047,Esparragosa De La Serena
06048,Esparragosa De Lares
06049,Feria
06050,Fregenal De La Sierra
06051,Fuenlabrada De Los Montes
06052,Fuente De Cantos
06053,Fuente Del Arco
06054,Fuente Del Maestre
06055,Fuentes De León
06056,Garbayuela
06057,Garlitos
06058,"Garrovilla, La"
06059,Granja De Torrehermosa
06060,Guareña
06061,"Haba, La"
06062,Helechosa De Los Montes
06063,Herrera Del Duque
06064,Higuera De La Serena
06065,Higuera De Llerena
06066,Higuera De Vargas
06067,Higuera La Real
06068,Hinojosa Del Valle
06069,Hornachos
06070,Jerez De Los Caballeros
06071,"Lapa, La"
06073,Llera
06074,Llerena
06072,Lobón
06075,Magacela
06076,Maguilla
06077,Malcocinado
06078,Malpartida De La Serena
06079,Manchita
06080,Medellín
06081,Medina De Las Torres
06082,Mengabril
06083,Mérida
06084,Mirandilla
06085,Monesterio
06086,Montemolín
06087,Monterrubio De La Serena
06088,Montijo
06089,"Morera, La"
06090,"Nava De Santiago, La"
06091,Navalvillar De Pela
06092,Nogales
06093,Oliva De La Frontera
06094,Oliva De Mérida
06095,Olivenza
06096,Orellana De La Sierra
06097,Orellana La Vieja
06098,Palomas
06099,"Parra, La"
06100,Peñalsordo
06101,Peraleda Del Zaucejo
06102,Puebla De Alcocer
06103,Puebla De La Calzada
06104,Puebla De La Reina
06107,Puebla De Obando
06108,Puebla De Sancho Pérez
06105,Puebla Del Maestre
06106,Puebla Del Prior
06902,Pueblonuevo Del Guadiana
06109,Quintana De La Serena
06110,Reina
06111,Rena
06112,Retamal De Llerena
06113,Ribera Del Fresno
06114,Risco
06115,"Roca De La Sierra, La"
06116,Salvaleón
06117,Salvatierra De Los Barros
06119,San Pedro De Mérida
06123,San Vicente De Alcántara
06118,Sancti-Spíritus
06120,Santa Amalia
06121,Santa Marta
06122,"Santos De Maimona, Los"
06124,Segura De León
06125,Siruela
06126,Solana De Los Barros
06127,Talarrubias
06128,Talavera La Real
06129,Táliga
06130,Tamurejo
06131,Torre De Miguel Sesmero
06132,Torremayor
06133,Torremejía
06134,Trasierra
06135,Trujillanos
06136,Usagre
06137,Valdecaballeros
06901,Valdelacalzada
06138,Valdetorres
06139,Valencia De Las Torres
06140,Valencia Del Mombuey
06141,Valencia Del Ventoso
06146,Valle De La Serena
06147,Valle De Matamoros
06148,Valle De Santa Ana
06142,Valverde De Burguillos
06143,Valverde De Leganés
06144,Valverde De Llerena
06145,Valverde De Mérida
06149,Villafranca De Los Barros
06150,Villagarcía De La Torre
06151,Villagonzalo
06152,Villalba De Los Barros
06153,Villanueva De La Serena
06154,Villanueva Del Fresno
06156,Villar De Rena
06155,Villar Del Rey
06157,Villarta De Los Montes
06158,Zafra
06159,Zahínos
06160,Zalamea De La Serena
06162,"Zarza, La"
06161,Zarza-Capilla
07002,Alaior
07001,Alaró
07003,Alcúdia
07004,Algaida
07005,Andratx
07901,Ariany
07006,Artà
07007,Banyalbufar
07008,Binissalem
07009,Búger
07010,Bunyola
07011,Calvià
07012,Campanet
07013,Campos
07014,Capdepera
07064,"Castell, Es"
07015,Ciutadella De Menorca
07016,Consell
07017,Costitx
07018,Deyá
07026,Eivissa
07019,Escorca
07020,Esporles
07021,Estellencs
07022,Felanitx
07023,Ferreries
07024,Formentera
07025,Fornalutx
07027,Inca
07028,Lloret De Vistalegre
07029,Lloseta
07030,Llubí
07031,Llucmajor
07033,Manacor
07034,Mancor De La Vall
07032,Maó
07035,Maria De La Salut
07036,Marratxí
07037,"Mercadal, Es"
07902,"Migjorn Gran, Es"
07038,Montuïri
07039,Muro
07040,Palma
07041,Petra
07044,"Pobla, Sa"
07042,Pollença
07043,Porreres
07045,Puigpunyent
07059,"Salines, Ses"
07046,Sant Antoni De Portmany
07049,Sant Joan
07050,Sant Joan De Labritja
07048,Sant Josep De Sa Talaia
07051,Sant Llorenç Des Cardassar
07052,Sant Lluís
07053,Santa Eugènia
07054,Santa Eulalia Del Río
07055,Santa Margalida
07056,Santa María Del Camí
07057,Santanyí
07058,Selva
07047,Sencelles
07060,Sineu
07061,Sóller
07062,Son Servera
07063,Valldemossa
07065,Vilafranca De Bonany
08001,Abrera
08002,Aguilar De Segarra
08014,Aiguafreda
08003,Alella
08004,Alpens
08005,"Ametlla Del Vallès, L'"
08006,Arenys De Mar
08007,Arenys De Munt
08008,Argençola
08009,Argentona
08010,Artés
08011,Avià
08012,Avinyó
08013,Avinyonet Del Penedès
08015,Badalona
08904,Badia Del Vallès
08016,Bagà
08017,Balenyà
08018,Balsareny
08252,Barberà Del Vallès
08019,Barcelona
08020,Begues
08021,Bellprat
08022,Berga
08023,Bigues I Riells
08024,Borredà
08025,"Bruc, El"
08026,"Brull, El"
08027,"Cabanyes, Les"
08028,Cabrera D'Anoia
08029,Cabrera De Mar
08030,Cabrils
08031,Calaf
08034,Calders
08033,Caldes De Montbui
08032,Caldes D'Estrac
08035,Calella
08037,Calldetenes
08038,Callús
08036,Calonge De Segarra
08039,Campins
08040,Canet De Mar
08041,Canovelles
08042,Cànoves I Samalús
08043,Canyelles
08044,Capellades
08045,Capolat
08046,Cardedeu
08047,Cardona
08048,Carme
08049,Casserres
08057,Castell De L'Areny
08052,Castellar De N'Hug
08050,Castellar Del Riu
08051,Castellar Del Vallès
08053,Castellbell I El Vilar
08054,Castellbisbal
08055,Castellcir
08056,Castelldefels
08058,Castellet I La Gornal
08060,Castellfollit De Riubregós
08059,Castellfollit Del Boix
08061,Castellgalí
08062,Castellnou De Bages
08063,Castellolí
08064,Castellterçol
08065,Castellví De La Marca
08066,Castellví De Rosanes
08067,Centelles
08268,Cercs
08266,Cerdanyola Del Vallès
08068,Cervelló
08069,Collbató
08070,Collsuspina
08071,Copons
08072,Corbera De Llobregat
08073,Cornellà De Llobregat
08074,Cubelles
08075,Dosrius
08076,Esparreguera
08077,Esplugues De Llobregat
08078,"Espunyola, L'"
08079,"Estany, L'"
08134,Figaró-Montmany
08080,Fígols
08082,Fogars De La Selva
08081,Fogars De Montclús
08083,Folgueroles
08084,Fonollosa
08085,Font-Rubí
08086,"Franqueses Del Vallès, Les"
08090,Gaià
08087,Gallifa
08088,"Garriga, La"
08089,Gavà
08091,Gelida
08092,Gironella
08093,Gisclareny
08094,"Granada, La"
08095,Granera
08096,Granollers
08097,Gualba
08099,Guardiola De Berguedà
08100,Gurb
08101,"Hospitalet De Llobregat, L'"
08162,"Hostalets De Pierola, Els"
08102,Igualada
08103,Jorba
08104,"Llacuna, La"
08105,"Llagosta, La"
08107,Lliçà D'Amunt
08108,Lliçà De Vall
08106,Llinars Del Vallès
08109,Lluçà
08110,Malgrat De Mar
08111,Malla
08112,Manlleu
08113,Manresa
08242,Marganell
08114,Martorell
08115,Martorelles
08116,"Masies De Roda, Les"
08117,"Masies De Voltregà, Les"
08118,"Masnou, El"
08119,Masquefa
08120,Matadepera
08121,Mataró
08122,Mediona
08138,Moià
08123,Molins De Rei
08124,Mollet Del Vallès
08128,Monistrol De Calders
08127,Monistrol De Montserrat
08125,Montcada I Reixac
08130,Montclar
08131,Montesquiu
08126,Montgat
08132,Montmajor
08133,Montmaneu
08135,Montmeló
08136,Montornès Del Vallès
08137,Montseny
08129,Muntanyola
08139,Mura
08140,Navarcles
08141,Navàs
08142,"Nou De Berguedà, La"
08143,Òdena
08145,Olèrdola
08146,Olesa De Bonesvalls
08147,Olesa De Montserrat
08148,Olivella
08149,Olost
08144,Olvan
08150,Orís
08151,Oristà
08152,Orpí
08153,Òrrius
08154,Pacs Del Penedès
08155,Palafolls
08156,Palau-Solità I Plegamans
08157,Pallejà
08905,"Palma De Cervelló, La"
08158,"Papiol, El"
08159,Parets Del Vallès
08160,Perafita
08161,Piera
08163,Pineda De Mar
08164,"Pla Del Penedès, El"
08165,"Pobla De Claramunt, La"
08166,"Pobla De Lillet, La"
08167,Polinyà
08182,"Pont De Vilomara I Rocafort, El"
08168,Pontons
08169,"Prat De Llobregat, El"
08171,Prats De Lluçanès
08170,"Prats De Rei, Els"
08230,Premià De Dalt
08172,Premià De Mar
08174,Puigdàlber
08175,Puig-Reig
08176,Pujalt
08177,"Quar, La"
08178,Rajadell
08179,Rellinars
08180,Ripollet
08181,"Roca Del Vallès, La"
08183,Roda De Ter
08184,Rubí
08185,Rubió
08901,Rupit I Pruit
08187,Sabadell
08188,Sagàs
08190,Saldes
08191,Sallent
08194,Sant Adrià De Besòs
08195,Sant Agustí De Lluçanès
08196,Sant Andreu De La Barca
08197,Sant Andreu De Llavaneres
08198,Sant Antoni De Vilamajor
08199,Sant Bartomeu Del Grau
08200,Sant Boi De Llobregat
08201,Sant Boi De Lluçanès
08203,Sant Cebrià De Vallalta
08202,Sant Celoni
08204,Sant Climent De Llobregat
08205,Sant Cugat Del Vallès
08206,Sant Cugat Sesgarrigues
08207,Sant Esteve De Palautordera
08208,Sant Esteve Sesrovires
08210,Sant Feliu De Codines
08211,Sant Feliu De Llobregat
08212,Sant Feliu Sasserra
08209,Sant Fost De Campsentelles
08213,Sant Fruitós De Bages
08215,Sant Hipòlit De Voltregà
08193,Sant Iscle De Vallalta
08216,Sant Jaume De Frontanyà
08218,Sant Joan De Vilatorrada
08217,Sant Joan Despí
08903,Sant Julià De Cerdanyola
08220,Sant Julià De Vilatorta
08221,Sant Just Desvern
08222,Sant Llorenç D'Hortons
08223,Sant Llorenç Savall
08225,Sant Martí D'Albars
08224,Sant Martí De Centelles
08226,Sant Martí De Tous
08227,Sant Martí Sarroca
08228,Sant Martí Sesgueioles
08229,Sant Mateu De Bages
08231,Sant Pere De Ribes
08232,Sant Pere De Riudebitlles
08233,Sant Pere De Torelló
08234,Sant Pere De Vilamajor
08189,Sant Pere Sallavinera
08235,Sant Pol De Mar
08236,Sant Quintí De Mediona
08237,Sant Quirze De Besora
08238,Sant Quirze Del Vallès
08239,Sant Quirze Safaja
08240,Sant Sadurní D'Anoia
08241,Sant Sadurní D'Osormort
08098,Sant Salvador De Guardiola
08262,Sant Vicenç De Castellet
08264,Sant Vicenç De Montalt
08265,Sant Vicenç De Torelló
08263,Sant Vicenç Dels Horts
08243,Santa Cecília De Voltregà
08244,Santa Coloma De Cervelló
08245,Santa Coloma De Gramenet
08246,Santa Eugènia De Berga
08247,Santa Eulàlia De Riuprimer
08248,Santa Eulàlia De Ronçana
08249,Santa Fe Del Penedès
08250,Santa Margarida De Montbui
08251,Santa Margarida I Els Monjos
08253,Santa Maria De Besora
08254,Santa Maria De Corcó
08256,Santa Maria De Martorelles
08255,Santa Maria De Merlès
08257,Santa Maria De Miralles
08259,Santa Maria De Palautordera
08258,Santa Maria D'Oló
08260,Santa Perpètua De Mogoda
08261,Santa Susanna
08192,Santpedor
08267,Sentmenat
08269,Seva
08270,Sitges
08271,Sobremunt
08272,Sora
08273,Subirats
08274,Súria
08276,Tagamanent
08277,Talamanca
08278,Taradell
08275,Tavèrnoles
08280,Tavertet
08281,Teià
08279,Terrassa
08282,Tiana
08283,Tona
08284,Tordera
08285,Torelló
08286,"Torre De Claramunt, La"
08287,Torrelavit
08288,Torrelles De Foix
08289,Torrelles De Llobregat
08290,Ullastrell
08291,Vacarisses
08292,Vallbona D'Anoia
08293,Vallcebre
08294,Vallgorguina
08295,Vallirana
08296,Vallromanes
08297,Veciana
08298,Vic
08299,Vilada
08301,Viladecans
08300,Viladecavalls
08305,Vilafranca Del Penedès
08306,Vilalba Sasserra
08303,Vilanova De Sau
08302,Vilanova Del Camí
08902,Vilanova Del Vallès
08307,Vilanova I La Geltrú
08214,Vilassar De Dalt
08219,Vilassar De Mar
08304,Vilobí Del Penedès
08308,Viver I Serrateix
09001,Abajas
09003,Adrada De Haza
09006,Aguas Cándidas
09007,Aguilar De Bureba
09009,Albillos
09010,Alcocero De Mola
09011,Alfoz De Bricia
09907,Alfoz De Quintanadueñas
09012,Alfoz De Santa Gadea
09013,Altable
09014,"Altos, Los"
09016,Ameyugo
09017,Anguix
09018,Aranda De Duero
09019,Arandilla
09020,Arauzo De Miel
09021,Arauzo De Salce
09022,Arauzo De Torre
09023,Arcos
09024,Arenillas De Riopisuerga
09025,Arija
09026,Arlanzón
09027,Arraya De Oca
09029,Atapuerca
09030,"Ausines, Los"
09032,Avellanosa De Muñó
09033,Bahabón De Esgueva
09034,"Balbases, Los"
09035,Baños De Valdearados
09036,Bañuelos De Bureba
09037,Barbadillo De Herreros
09038,Barbadillo Del Mercado
09039,Barbadillo Del Pez
09041,Barrio De Muñó
09043,"Barrios De Bureba, Los"
09044,Barrios De Colina
09045,Basconcillos Del Tozo
09046,Bascuñana
09047,Belbimbre
09048,Belorado
09050,Berberana
09051,Berlangas De Roa
09052,Berzosa De Bureba
09054,Bozoó
09055,Brazacorta
09056,Briviesca
09057,Bugedo
09058,Buniel
09059,Burgos
09060,Busto De Bureba
09061,Cabañes De Esgueva
09062,Cabezón De La Sierra
09064,Caleruega
